learner_id,song_id,topic,artist,song_level,vocab_size,session_repeat,day,mode,question_index,question_type,category,auto_graded,correct,incorrect,time_sec
0,1,Vivir Mi Vida,Marc Anthony,1,62,1,2.0,reading,0,multiple_choice,vocab,True,0,1,10.5
0,1,Vivir Mi Vida,Marc Anthony,1,62,1,2.0,reading,1,multiple_choice,vocab,True,1,0,11.9
0,1,Vivir Mi Vida,Marc Anthony,1,62,1,2.0,reading,2,fill_blank,vocab,True,1,0,20.8
0,1,Vivir Mi Vida,Marc Anthony,1,62,1,2.0,reading,3,multiple_choice,vocab,True,1,0,12.7
0,1,Vivir Mi Vida,Marc Anthony,1,62,1,2.0,reading,4,multiple_choice,vocab,True,1,0,8.8
0,1,Vivir Mi Vida,Marc Anthony,1,62,1,2.0,writing,0,short_answer,vocab,False,1,0,30.8
0,1,Vivir Mi Vida,Marc Anthony,1,62,1,2.0,writing,1,short_answer,vocab,False,1,0,49.6
0,1,Vivir Mi Vida,Marc Anthony,1,62,1,2.0,writing,2,short_answer,vocab,False,1,0,30.4
0,1,Vivir Mi Vida,Marc Anthony,1,62,1,2.0,writing,3,short_answer,vocab,False,1,0,26.3
0,1,Vivir Mi Vida,Marc Anthony,1,62,1,2.0,writing,4,short_answer,vocab,False,1,0,25.6
0,1,Vivir Mi Vida,Marc Anthony,1,62,2,6.0,reading,0,multiple_choice,vocab,True,0,1,8.9
0,1,Vivir Mi Vida,Marc Anthony,1,62,2,6.0,reading,1,fill_blank,vocab,True,1,0,24.1
0,1,Vivir Mi Vida,Marc Anthony,1,62,2,6.0,reading,2,fill_blank,vocab,True,1,0,17.6
0,1,Vivir Mi Vida,Marc Anthony,1,62,2,6.0,reading,3,multiple_choice,vocab,True,1,0,8.1
0,1,Vivir Mi Vida,Marc Anthony,1,62,2,6.0,reading,4,multiple_choice,vocab,True,1,0,12.2
0,1,Vivir Mi Vida,Marc Anthony,1,62,2,6.0,writing,0,short_answer,vocab,False,1,0,34.3
0,1,Vivir Mi Vida,Marc Anthony,1,62,2,6.0,writing,1,short_answer,vocab,False,1,0,22.9
0,1,Vivir Mi Vida,Marc Anthony,1,62,2,6.0,writing,2,short_answer,vocab,False,1,0,28.9
0,1,Vivir Mi Vida,Marc Anthony,1,62,2,6.0,writing,3,short_answer,vocab,False,1,0,27.2
0,1,Vivir Mi Vida,Marc Anthony,1,62,2,6.0,writing,4,short_answer,vocab,False,1,0,27.5
0,1,Vivir Mi Vida,Marc Anthony,1,62,3,7.0,reading,0,fill_blank,vocab,True,1,0,15.7
0,1,Vivir Mi Vida,Marc Anthony,1,62,3,7.0,reading,1,fill_blank,vocab,True,1,0,13.4
0,1,Vivir Mi Vida,Marc Anthony,1,62,3,7.0,reading,2,fill_blank,vocab,True,1,0,24.0
0,1,Vivir Mi Vida,Marc Anthony,1,62,3,7.0,reading,3,multiple_choice,vocab,True,1,0,12.8
0,1,Vivir Mi Vida,Marc Anthony,1,62,3,7.0,reading,4,multiple_choice,vocab,True,1,0,8.3
0,1,Vivir Mi Vida,Marc Anthony,1,62,3,7.0,writing,0,short_answer,vocab,False,1,0,26.7
0,1,Vivir Mi Vida,Marc Anthony,1,62,3,7.0,writing,1,short_answer,vocab,False,1,0,29.9
0,1,Vivir Mi Vida,Marc Anthony,1,62,3,7.0,writing,2,short_answer,vocab,False,1,0,30.8
0,1,Vivir Mi Vida,Marc Anthony,1,62,3,7.0,writing,3,short_answer,vocab,False,1,0,31.3
0,1,Vivir Mi Vida,Marc Anthony,1,62,3,7.0,writing,4,short_answer,vocab,False,1,0,22.1
0,1,Vivir Mi Vida,Marc Anthony,1,62,4,10.0,reading,0,multiple_choice,vocab,True,1,0,10.7
0,1,Vivir Mi Vida,Marc Anthony,1,62,4,10.0,reading,1,fill_blank,vocab,True,1,0,18.8
0,1,Vivir Mi Vida,Marc Anthony,1,62,4,10.0,reading,2,multiple_choice,vocab,True,1,0,9.4
0,1,Vivir Mi Vida,Marc Anthony,1,62,4,10.0,reading,3,multiple_choice,vocab,True,1,0,7.9
0,1,Vivir Mi Vida,Marc Anthony,1,62,4,10.0,reading,4,fill_blank,vocab,True,1,0,12.0
0,1,Vivir Mi Vida,Marc Anthony,1,62,4,10.0,writing,0,short_answer,vocab,False,1,0,22.0
0,1,Vivir Mi Vida,Marc Anthony,1,62,4,10.0,writing,1,short_answer,vocab,False,1,0,21.8
0,1,Vivir Mi Vida,Marc Anthony,1,62,4,10.0,writing,2,short_answer,vocab,False,1,0,17.1
0,1,Vivir Mi Vida,Marc Anthony,1,62,4,10.0,writing,3,short_answer,vocab,False,1,0,28.3
0,1,Vivir Mi Vida,Marc Anthony,1,62,4,10.0,writing,4,short_answer,vocab,False,1,0,21.2
0,1,Vivir Mi Vida,Marc Anthony,1,62,5,14.0,reading,0,fill_blank,vocab,True,1,0,8.8
0,1,Vivir Mi Vida,Marc Anthony,1,62,5,14.0,reading,1,multiple_choice,vocab,True,1,0,5.9
0,1,Vivir Mi Vida,Marc Anthony,1,62,5,14.0,reading,2,multiple_choice,vocab,True,0,1,9.6
0,1,Vivir Mi Vida,Marc Anthony,1,62,5,14.0,reading,3,multiple_choice,vocab,True,1,0,7.6
0,1,Vivir Mi Vida,Marc Anthony,1,62,5,14.0,reading,4,multiple_choice,vocab,True,0,1,7.5
0,1,Vivir Mi Vida,Marc Anthony,1,62,5,14.0,writing,0,short_answer,vocab,False,1,0,30.5
0,1,Vivir Mi Vida,Marc Anthony,1,62,5,14.0,writing,1,short_answer,vocab,False,1,0,18.5
0,1,Vivir Mi Vida,Marc Anthony,1,62,5,14.0,writing,2,short_answer,vocab,False,1,0,23.0
0,1,Vivir Mi Vida,Marc Anthony,1,62,5,14.0,writing,3,short_answer,vocab,False,1,0,18.4
0,1,Vivir Mi Vida,Marc Anthony,1,62,5,14.0,writing,4,short_answer,vocab,False,1,0,22.1
